OBJECTID,TYPE,PERMIT_NO,START_DATE,END_DATE,COMMENTS,ADDDATE,MODDATE,STREET_NAME,FROM_STR,TO_STR,RDMID,Shape__Length
2690,"Lane Closed, Sidewalk Closed",168345,2018-08-30T03:00:00.000Z,2021-10-30T03:00:00.000Z,bus stop on Robie Street to remain open throughout construction.,2019-04-24T17:12:51.000Z,2019-05-15T16:50:36.000Z,PEPPERELL ST,ROBIE ST,VERNON ST,697,112.1168975
2691,Sidewalk Closed,168345,2018-08-30T03:00:00.000Z,2021-10-30T03:00:00.000Z,bus stop on Robie Street to remain open throughout construction.,2019-04-24T17:12:51.000Z,2019-05-15T16:50:59.000Z,ROBIE ST,SHIRLEY ST,PEPPERELL ST,698,99.69207578
2693,Sidewalk Closed,167134,2018-06-01T03:00:00.000Z,2020-10-31T03:00:00.000Z,,2019-05-10T13:24:29.000Z,2019-05-10T13:24:29.000Z,BILBY ST,GOTTINGEN ST,ISLEVILLE ST,993,48.47488387
2694,Sidewalk Closed,172956,2019-05-13T03:00:00.000Z,2021-10-31T03:00:00.000Z,,2019-05-10T16:37:24.000Z,2019-05-10T16:37:24.000Z,ROBIE ST,DEMONE ST,YOUNG ST,1009,32.53846582
2695,"Lane Closed, Sidewalk Closed",152969,2016-05-30T03:00:00.000Z,2019-10-31T03:00:00.000Z,sidewalk open on Barrington and Sackville. Sidewalk Closed on Granville,2019-04-24T17:12:51.000Z,2019-05-10T13:30:49.000Z,GRANVILLE ST,BLOWERS ST,SACKVILLE ST,644,63.5696723
2696,Sidewalk Closed,174994,2019-06-03T03:00:00.000Z,2019-07-05T03:00:00.000Z,Sidewalk closed in front of 1459 Oxford Street,2019-05-30T14:08:59.000Z,2019-05-30T14:08:59.000Z,OXFORD ST,COBURG RD,CASTINE WAY,1601,39.86728918
2697,Temporary Sidewalk,158270,2017-03-28T03:00:00.000Z,2019-12-31T04:00:00.000Z,offset sidewalk on street for Almon St and Gottingen St. sidewalk closed on Bloomfield St section,2019-04-24T17:12:51.000Z,2019-05-15T19:03:46.000Z,GOTTINGEN ST,ALMON ST,BLOOMFIELD ST,650,87.52483888
2698,Sidewalk Closed,173267,2019-03-22T03:00:00.000Z,2020-11-30T04:00:00.000Z,Sidewalk closed adjacent 2480 Maynard Street.,2019-05-16T15:56:15.000Z,2019-05-16T16:01:48.000Z,MAYNARD ST,CHARLES ST,ROBERTS ST,1297,24.49106763
2699,Sidewalk Closed,173438,2019-04-15T03:00:00.000Z,2020-11-30T04:00:00.000Z,Sidewalk closed adjacent 1 Rosedale Avenue.,2019-05-16T18:23:11.000Z,2019-05-16T18:23:11.000Z,ROSEDALE AVE,DUTCH VILLAGE RD,ALEX ST,1313,71.32604284
2700,Sidewalk Closed,173267,2019-03-22T03:00:00.000Z,2020-11-30T04:00:00.000Z,Sidewalk closed adjacent 2480 Maynard Street.,2019-05-16T15:58:36.000Z,2019-05-16T16:01:19.000Z,ROBERTS ST,AGRICOLA ST,MAYNARD ST,1282,58.07964389
2701,Sidewalk Closed,173438,2019-04-15T03:00:00.000Z,2020-11-30T04:00:00.000Z,Sidewalk closed adjacent 1 Rosedale Avenue.,2019-05-16T18:21:06.000Z,2019-05-16T18:21:06.000Z,DUTCH VILLAGE RD,FREDERICK AVE,ROSEDALE AVE,1283,38.21859279
2702,"Lane Closed, Sidewalk Closed",160584,2017-08-25T03:00:00.000Z,2019-11-30T04:00:00.000Z,Streets narrowed/sidewalk closed adjacent 1048 Wellington Street. Extends 15 meters beyond property line on both ends.,2019-05-16T15:48:48.000Z,2019-05-16T16:06:54.000Z,WELLINGTON ST,LUNDYS LANE,INGLIS ST,1281,120.4768511
