OBJECTID,IMPMAPID,IMP_PROP,BIKE_NAME,BIKESTATUS,ADDDATE,MODDATE,SDATE,SOURCE,SACC,Shape__Length
1553,IMPMAP351,Protected Bike Lane,Macdonald Bridge Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,146.450001
1554,IMPMAP352,Local Street Bikeway,Allan-Oak Local Street Bikeway,Under Construction,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1499.582664
1555,IMPMAP353,Local Street Bikeway,Liverpool Local Street Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1249.22492
1556,IMPMAP354,Multi-use Pathway,Ahern Multi-Use Pathway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,691.9044475
1557,IMPMAP355,Protected Bike Lane,George St Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,135.2100917
1558,IMPMAP356,Protected Bike Lane,George St Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,149.6303604
1559,IMPMAP357,Protected Bike Lane,Cogswell Greenway Cycle Track,In Design,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,62.74352889
1560,IMPMAP358,Multi-use Pathway,Africville Greenway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,948.2725791
1561,IMPMAP359,Protected Bike Lane,Albro Lake Rd Protected Bike Lanes,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1711.053804
1562,IMPMAP360,Local Street Bikeway,Leaman Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,937.1995228
1563,IMPMAP361,Local Street Bikeway,Harris Rd Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,613.0477999
1564,IMPMAP362,Local Street Bikeway,Harris Rd Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1191.289254
